2021-08-01 13:55:48 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://umh1228.edu.umh.es/material/
2021-08-01 13:55:50 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://umh1228.edu.umh.es/material/teoria/
2021-08-01 13:55:50 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://umh1228.edu.umh.es/material/problemas-con-solucion/
2021-08-01 13:55:51 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/bachillerato/cultura-cientifica-1-bachillerato/recursos-cultura-cientifica-1-bachillerato
2021-08-01 13:55:51 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:55:51 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://fisicayquimicaayora.wikispaces.com/CULTURA+CIENT%C3%8DFICA
2021-08-01 13:55:51 WARNING  [146]URLUtils.py: Error reading URL: https://fisicayquimicaayora.wikispaces.com/CULTURA+CIENT%C3%8DFICA : [Errno 8] nodename nor servname provided, or not known
2021-08-01 13:55:51 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://elvuelodelalechuza.com/2017/11/04/la-importancia-social-de-la-divulgacion-y-la-cultura-cientifica/
2021-08-01 13:55:53 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/watch?v=etmYwBTDpqA
2021-08-01 13:55:54 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.homethemovie.org/es/educacion/home-educacion
2021-08-01 13:55:55 WARNING  [146]URLUtils.py: Error reading URL: http://www.homethemovie.org/es/educacion/home-educacion : Internal Server Error
2021-08-01 13:55:55 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/watch?v=SWRHxh6XepM&feature=youtu.be
2021-08-01 13:55:56 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.imdb.com/title/tt1454110/
2021-08-01 13:55:58 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.imdb.com/title/tt0298814/
2021-08-01 13:56:00 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://elprofedefisica.naukas.com/2016/10/14/el-nucleo-the-core-y-el-error-que-no-fue/
2021-08-01 13:56:00 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/watch?v=zocutif0cQY
2021-08-01 13:56:01 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://elpais.com/diario/2003/06/04/futuro/1054677605_850215.html
2021-08-01 13:56:02 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.nature.com/nature/journal/v423/n6937/full/423239a.html
2021-08-01 13:56:03 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://news.bbc.co.uk/2/hi/science/nature/3021255.stm
2021-08-01 13:56:03 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://elpais.com/diario/2004/04/28/futuro/1083103202_850215.html
2021-08-01 13:56:04 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://query.nytimes.com/gst/fullpage.html?res=9405E0D71E3EF935A1575BC0A9639C8B63
